#{"t_start": 1668550789.767045, "env_id": "nnMeta-v40"}
r,l,t
31269.0,29,8.233112
33507.0,30,8.246295
35389.0,31,8.263808
37553.0,32,8.280957
39041.0,33,8.299433
39099.0,34,8.32356
40919.0,35,8.341965
42318.0,36,8.35984
42662.0,37,8.378633
44649.0,38,8.405305
46776.0,39,8.438441
47038.0,40,8.456564
37.0,1,8.471811
423.0,2,8.500913
1449.0,3,8.514503
1637.0,4,8.526163
3282.0,5,8.535771
5122.0,6,8.545891
5665.0,7,8.55596
6886.0,8,8.565456
8151.0,9,8.574299
8741.0,10,8.582658
9587.0,11,8.591091
11566.0,12,8.59971
12449.0,13,8.608138
12687.0,14,8.616322
12976.0,15,8.624907
13577.0,16,8.633393
13912.0,17,8.641858
14000.0,18,8.650165
15721.0,19,8.658847
17807.0,20,8.667087
19351.0,21,8.675612
19814.0,22,8.684036
20454.0,23,8.692702
22135.0,24,8.701063
24405.0,25,8.709605
24551.0,26,8.718175
26363.0,27,8.726763
27633.0,28,8.735148
28028.0,29,8.743748
28527.0,30,8.753535
29647.0,31,8.762585
29868.0,32,8.77285
31160.0,33,8.783287
31289.0,34,8.793521
31881.0,35,8.803588
33748.0,36,8.812872
33828.0,37,8.823308
35493.0,38,8.833043
36681.0,39,8.84278
38853.0,40,8.85351
39093.0,41,8.863474
39307.0,42,8.873853
39485.0,43,8.883559
41307.0,44,8.893599
41325.0,45,8.903658
43263.0,46,8.91317
43990.0,47,8.9239
45095.0,48,8.933654
764.0,1,8.943796
1178.0,2,8.954263
2196.0,3,8.96422
2957.0,4,8.974253
4768.0,5,8.983816
6302.0,6,8.993985
8311.0,7,9.004162
9541.0,8,9.014008
10921.0,9,9.024232
12176.0,10,9.034112
13063.0,11,9.044148
14513.0,12,9.054406
14710.0,13,9.063756
16693.0,14,9.073767
17751.0,15,9.083289
17763.0,16,9.093263
18976.0,17,9.102399
20490.0,18,9.111302
21085.0,19,9.119965
21697.0,20,9.128352
23921.0,21,9.137257
24750.0,22,9.145492
26848.0,23,9.154302
26934.0,24,9.162891
28447.0,25,9.171892
28976.0,26,9.180236
30181.0,27,9.18921
31233.0,28,9.198987
33478.0,29,9.209364
34761.0,30,9.218749
36515.0,31,9.228748
38570.0,32,9.239039
39165.0,33,9.251412
975.0,1,9.261675
1158.0,2,9.271772
2546.0,3,9.281263
3382.0,4,9.29205
4306.0,5,9.301925
6123.0,6,9.312002
8282.0,7,9.322537
9772.0,8,9.332195
11928.0,9,9.34211
13253.0,10,9.351633
14334.0,11,9.361941
15624.0,12,9.371748
17766.0,13,9.381751
18144.0,14,9.392371
19137.0,15,9.401627
20742.0,16,9.410076
21612.0,17,9.418657
23404.0,18,9.427604
25340.0,19,9.435937
27121.0,20,9.444515
27712.0,21,9.453483
28378.0,22,9.461834
29845.0,23,9.472121
30188.0,24,9.482169
30655.0,25,9.493095
30701.0,26,9.505001
30774.0,27,9.515264
31194.0,28,9.526414
31472.0,29,9.537476
31995.0,30,9.548938
34267.0,31,9.558951
35358.0,32,9.56868
37171.0,33,9.578524
37442.0,34,9.588996
39713.0,35,9.598432
41378.0,36,9.607444
42937.0,37,9.615812
43094.0,38,9.624905
43749.0,39,9.634837
45557.0,40,9.644237
46413.0,41,9.65343
46960.0,42,9.661827
49183.0,43,9.67069
49310.0,44,9.679039
51550.0,45,9.687827
53512.0,46,9.696348
53966.0,47,9.705139
55203.0,48,9.714877
1270.0,1,9.725866
1539.0,2,9.739142
2104.0,3,9.751771
3614.0,4,9.763564
5473.0,5,9.774074
6428.0,6,9.783674
7994.0,7,9.793741
9130.0,8,9.804747
9872.0,9,9.814279
12133.0,10,9.824374
12930.0,11,9.83412
13943.0,12,9.844249
15986.0,13,9.854839
18075.0,14,9.864354
18426.0,15,9.874485
20360.0,16,9.883922
22516.0,17,9.893898
24079.0,18,9.905105
25915.0,19,9.914589
27766.0,20,9.92501
28515.0,21,9.934762
29915.0,22,9.94332
31549.0,23,9.952122
33185.0,24,9.960848
35313.0,25,9.96961
37410.0,26,9.978191
38411.0,27,9.987156
39652.0,28,9.996856
39953.0,29,10.007276
40775.0,30,10.017435
42870.0,31,10.029886
43301.0,32,10.040766
44351.0,33,10.05049
45535.0,34,10.060214
46942.0,35,10.070165
48303.0,36,10.080007
50456.0,37,10.090542
52673.0,38,10.100458
53131.0,39,10.110378
53345.0,40,10.122534
54309.0,41,10.132301
54469.0,42,10.141986
56415.0,43,10.151573
58107.0,44,10.161718
58948.0,45,10.17092
60379.0,46,10.179256
61035.0,47,10.188162
62915.0,48,10.196653
1512.0,1,10.205425
1872.0,2,10.219143
2923.0,3,10.229132
3605.0,4,10.239591
4934.0,5,10.249588
5510.0,6,10.259558
6034.0,7,10.270071
6961.0,8,10.280145
8941.0,9,10.29177
10402.0,10,10.30217
10618.0,11,10.311984
10978.0,12,10.322358
1248.0,1,10.332051
3441.0,2,10.342191
5693.0,3,10.351976
6301.0,4,10.361933
8292.0,5,10.372062
10038.0,6,10.381538
11177.0,7,10.391716
13113.0,8,10.401347
13968.0,9,10.411131
14992.0,10,10.421746
15302.0,11,10.431788
16885.0,12,10.442379
16886.0,13,10.452441
17030.0,14,10.461837
18262.0,15,10.47079
20563.0,16,10.479266
22252.0,17,10.488368
24569.0,18,10.497963
26676.0,19,10.506684
28840.0,20,10.51518
29756.0,21,10.524122
31144.0,22,10.533835
33223.0,23,10.543641
33360.0,24,10.554002
35071.0,25,10.563783
35816.0,26,10.573578
35987.0,27,10.583059
36380.0,28,10.593201
37089.0,29,10.602715
38553.0,30,10.61235
39999.0,31,10.623893
41275.0,32,10.63387
41373.0,33,10.643764
42506.0,34,10.654471
43617.0,35,10.662989
43914.0,36,10.671931
44122.0,37,10.680337
45880.0,38,10.689086
47041.0,39,10.697495
47314.0,40,10.706489
47356.0,41,10.714873
47696.0,42,10.724011
48355.0,43,10.733657
50468.0,44,10.743377
52485.0,45,10.753799
53260.0,46,10.76357
54693.0,47,10.773592
55801.0,48,10.782557
387.0,1,10.791108
2349.0,2,10.799981
3281.0,3,10.808973
5090.0,4,10.819442
5946.0,5,10.829334
6800.0,6,10.839431
7117.0,7,10.848915
8219.0,8,10.859035
10125.0,9,10.86794
11206.0,10,10.876547
12372.0,11,10.88517
12501.0,12,10.893844
13057.0,13,10.90248
14978.0,14,10.911249
16666.0,15,10.921148
17629.0,16,10.930739
18310.0,17,10.940472
20229.0,18,10.950127
20318.0,19,10.959833
21333.0,20,10.968393
21918.0,21,10.976861
22690.0,22,10.985569
23382.0,23,10.9943
23557.0,24,11.002871
23697.0,25,11.011485
23843.0,26,11.021053
23929.0,27,11.029689
24682.0,28,11.038306
26136.0,29,11.046897
28346.0,30,11.055995
28762.0,31,11.064314
29321.0,32,11.073257
30599.0,33,11.081568
30977.0,34,11.090274
33277.0,35,11.098715
33820.0,36,11.10732
35953.0,37,11.11579
36143.0,38,11.125183
38474.0,39,11.135137
40248.0,40,11.144707
41749.0,41,11.154876
43900.0,42,11.164327
45131.0,43,11.174117
46814.0,44,11.182337
47266.0,45,11.191022
49444.0,46,11.199561
51178.0,47,11.208124
51992.0,48,11.216354
657.0,1,11.225245
1020.0,2,11.233593
1043.0,3,11.242017
2136.0,4,11.250571
2198.0,5,11.25915
4485.0,6,11.267536
4851.0,7,11.276041
6330.0,8,11.284531
7327.0,9,11.293394
8490.0,10,11.301657
8697.0,11,11.309999
9803.0,12,11.318316
11825.0,13,11.328131
12276.0,14,11.336861
13757.0,15,11.346343
15206.0,16,11.35529
17157.0,17,11.365185
18029.0,18,11.374848
19169.0,19,11.385047
21432.0,20,11.395205
22958.0,21,11.405532
24908.0,22,11.413817
26637.0,23,11.422678
28322.0,24,11.431224
29908.0,25,11.44001
31623.0,26,11.448281
32407.0,27,11.457123
34230.0,28,11.465699
34773.0,29,11.474572
35196.0,30,11.482944
36707.0,31,11.492087
37295.0,32,11.500705
37361.0,33,11.509178
37773.0,34,11.517556
40100.0,35,11.526268
40481.0,36,11.534555
41135.0,37,11.543303
42428.0,38,11.551813
44345.0,39,11.561017
46179.0,40,11.569958
48055.0,41,11.578787
49394.0,42,11.589015
50335.0,43,11.598722
52432.0,44,11.608565
52657.0,45,11.648638
54287.0,46,11.671573
55333.0,47,11.680759
56089.0,48,11.690869
1155.0,1,11.700512
1374.0,2,11.710153
2849.0,3,11.718862
4778.0,4,11.727606
6314.0,5,11.736349
8594.0,6,11.744947
9715.0,7,11.753809
11772.0,8,11.762119
12715.0,9,11.771131
12804.0,10,11.779413
14428.0,11,11.788222
15302.0,12,11.796629
16507.0,13,11.80533
18617.0,14,11.814072
19650.0,15,11.824912
20460.0,16,11.834754
21291.0,17,11.845153
22891.0,18,11.855196
23606.0,19,11.865077
25275.0,20,11.875084
25961.0,21,11.884475
27868.0,22,11.894799
29090.0,23,11.905065
30153.0,24,11.914419
30880.0,25,11.923612
31385.0,26,11.932104
31780.0,27,11.941025
32845.0,28,11.950422
33268.0,29,11.960484
35451.0,30,11.9704
36152.0,31,11.980132
36494.0,32,11.990344
37229.0,33,12.000134
37882.0,34,12.010139
39365.0,35,12.020059
40183.0,36,12.029961
42459.0,37,12.03858
43717.0,38,12.047229
45960.0,39,12.056948
47306.0,40,12.066744
48949.0,41,12.07661
51250.0,42,12.085109
52024.0,43,12.093869
54009.0,44,12.102046
55984.0,45,12.110807
57670.0,46,12.119322
59196.0,47,12.127964
60519.0,48,12.136846
470.0,1,12.145319
1165.0,2,12.154253
2559.0,3,12.16278
4626.0,4,12.172911
6120.0,5,12.182588
7683.0,6,12.192124
9361.0,7,12.201701
9690.0,8,12.211524
11932.0,9,12.221583
12892.0,10,12.230988
13164.0,11,12.240883
14668.0,12,12.250291
